Время захвата пакетов,Общее число захваченных пакетов,Число пакетов localhost,Число пакетов broadcast,Число UDP сегментов,Число TCP сегментов,Число пакетов с опциями,Число фрагментированных пакетов,Общая интенсивность пакетов,Количество пакетов типа FIN,Количество пакетов типа SIN,"Число пакетов, входящих в сеть",Число UDP сегментов входящих в сеть,"Число TCP сегментов, входящих в сеть","Число пакетов с опциями, входящих в сеть","Число фрагментированных пакетов, входящих в сеть","Интенсивность пакетов, входящих в сеть","Количество пакетов типа FIN, входящих в сеть","Количество пакетов типа SIN, входящих в сеть","Число пакетов, исходящих из сети","Число UDP сегментов, исходящих из сети","Число TCP сегментов, исходящих из сети","Число пакетов с опциями, исходящих из сети","Число фрагментированных пакетов, исходящих из сети","Интенсивность пакетов, исходящих из сети","Количество пакетов типа FIN, исходящих из сети","Количество пакетов типа SIN, исходящих из сети"
11:36:12-11:36:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:14-11:36:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:16-11:36:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:18-11:36:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:20-11:36:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:22-11:36:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:24-11:36:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:26-11:36:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:28-11:36:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:30-11:36:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:32-11:36:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:44-11:36:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:46-11:36:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:48-11:36:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:50-11:36:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:52-11:36:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:54-11:36:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:56-11:36:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:36:58-11:37:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:37:00-11:37:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
11:37:23-11:37:25,2,0,0,0,2,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,2,0,2,0,0,1.0,0,0
11:37:25-11:37:27,2,0,0,0,2,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,2,0,2,0,0,1.0,0,0
11:37:27-11:37:29,14,0,0,0,14,0,0,7.0,0,1,5,0,5,0,0,2.5,0,0,9,0,9,0,0,4.5,0,1
11:37:29-11:37:31,38,0,0,13,23,0,0,19.0,0,3,10,0,10,0,0,5.0,0,0,13,0,13,0,0,6.5,0,3
11:37:31-11:37:33,14,0,0,0,14,0,0,7.0,0,0,7,0,7,0,0,3.5,0,0,7,0,7,0,0,3.5,0,0
11:37:33-11:37:35,3,0,0,0,3,0,0,1.5,0,0,0,0,0,0,0,0.0,0,0,3,0,3,0,0,1.5,0,0
11:37:35-11:37:37,2,0,0,0,2,0,0,1.0,0,0,0,0,0,0,0,0.0,0,0,2,0,2,0,0,1.0,0,0
11:37:37-11:37:39,9,0,0,0,9,0,0,4.5,0,0,2,0,2,0,0,1.0,0,0,7,0,7,0,0,3.5,0,0
11:37:39-11:37:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0
